"","nest","site","species","status","fate","final_fate","i","j","k","cov_5m","nest_age","nocc"
"72","10247","RUTW","LETE","0,0,0,1",1,"5","32","41","46",NA,NA,"99"
"73","10249","RUTW","LETE","0,0,1",1,"5","32","37","46",NA,NA,"99"
"74","10252","RUTW","CONI","0,1,0,0",0,"1","37","50","50",NA,NA,"99"
"75","10254","RUTW","LETE","0,0,0,0,1",1,"6","32","46","50",NA,NA,"99"
"76","10255","RUTW","LETE","0,0,0,0,0,0",0,"1","32","51","51",NA,NA,"99"
"77","10256","RUTW","LETE","0,0,0,0,1",1,"0","32","46","50",NA,"20","99"
"78","10257","RUTW","LETE","0,0,0,0,1",1,"0","32","46","50",NA,"16","99"
"79","10260","RUTE","LETE","0,0,0,1",1,"4","39","45","51","40",NA,"99"
"80","10261","RUTE","LETE","0,0,0,1",1,"4","39","45","51","40",NA,"99"
"81","10262","RUTE","LETE","0,0,0,1",1,"4","39","45","51","40",NA,"99"
"82","10263","RUTE","LETE","0,0,0,0",0,"1","45","50","50","40",NA,"99"
"83","10264","RUTE","LETE","0,0,0,0",0,"1","45","50","50","40",NA,"99"
"84","10265","RUTE","LETE","0,0,0,0",0,"1","45","51","51","40",NA,"99"
"85","10268","RUTW","LETE","0,0,1",1,"5","36","40","45",NA,NA,"99"
"86","10269","RUTE","LETE","0,0,0,0",0,"1","39","54","54",NA,NA,"99"
"87","10270","RUTE","LETE","0,0,0",0,"1","39","49","49",NA,NA,"99"
"88","10271","RUTE","CONI","0,0",0,"1","39","45","45",NA,NA,"99"
"89","10273","RUTE","LETE","0,1",1,"4","39","39","51","30",NA,"99"
"90","10275","RUTW","LETE","0,0,0,0,1",1,"5","40","47","51","20",NA,"99"
"91","10277","RUTW","LETE","0,1",1,"5","40","40","43","30",NA,"99"
"92","10278","RUTW","LETE","0,0,1",1,"5","40","43","45","30",NA,"99"
"93","10279","RUTW","LETE","0,1,1",1,"0","40","40","45","40",NA,"99"
"94","10281","RUTW","LETE","0,1",1,"5","40","40","45","30",NA,"99"
"95","10282","RUTW","LETE","0,1",1,"5","40","40","45","30",NA,"99"
"96","10283","RUTW","LETE","0,0,0,0",0,"1","51","58","58","30",NA,"99"
"97","10284","RUTW","CONI","0,1,0",0,"1","40","46","46","40",NA,"99"
"98","10285","RUTW","LETE","0,1",1,"2","46","46","50","30",NA,"99"
"99","10288","RUTW","LETE","0,0,0,0,0",0,"1","46","64","64","30","22","99"
"100","10298","RUTW","LETE","0,0,1",1,"0","50","50","58","30","10","99"
"101","10304","RUTW","LETE","0,1",1,"0","51","51","58","50",NA,"99"
"102","10307","RUTW","LETE","0,1",1,"0","51","51","58","40","2","99"
"103","10308","RUTW","LETE","0,1",1,"0","51","51","58","40","4","99"
"104","10310","RUTE","LETE","0,0,0,0",0,"1","65","81","81","30","19","99"
"105","10311","RUTE","LETE","0,0,0",0,"1","65","74","74",NA,"19","99"
"106","10319","RUTW","LETE","0,0,0",0,"1","68","77","77",NA,"21","99"
"107","10322","RUTW","LETE","0,0,1",1,"6","69","74","78",NA,"9","99"
"108","10329","RUTE","LETE","0,0,0,0,0,0,1",1,"0","69","89","94",NA,"21","99"
"109","10331","RUTW","CONI","0,0,0",0,"1","74","87","87",NA,NA,"99"
"110","10335","RUTW","CONI","0,0,0,0,0",0,"1","75","87","87",NA,NA,"99"
"111","10338","RUTW","LETE","0,0,1",1,"3","87","87","95",NA,NA,"99"
"112","10339","RUTW","LETE","0,0,1",1,"3","87","87","95",NA,NA,"99"
"113","10341","RUTW","CONI","0,1",1,"6","79","79","82",NA,NA,"99"
"114","10342","RUTW","CONI","0,1",1,"5","79","79","82",NA,NA,"99"
"115","10343","RUTW","CONI","0,0",0,"1","79","81","81",NA,NA,"99"
"116","10344","RUTW","CONI","0,0,1",1,"4","79","86","87","50",NA,"99"
"117","10345","RUTW","CONI","0,0,0,0,1",1,"0","79","88","95",NA,NA,"99"
"118","10346","RUTE","CONI","0,0,0",0,"1","79","84","84","60",NA,"99"
"119","10348","RUTE","CONI","0,1,0,0",0,"1","79","94","94","50",NA,"99"
"120","10353","RUTE","LETE","0,0,0,0,0,0,1",1,"4","86","103","108","40",NA,"99"
"121","10355","RUTW","CONI","0,0,1",1,"0","89","95","103","70","12","99"
"122","10356","RUTW","LETE","0,0,0,1",1,"3","86","89","95",NA,"10","99"
"123","10357","RUTW","LETE","0,0,0,1",1,"4","86","89","95",NA,"17","99"
"124","10358","RUTW","LETE","0,0",0,"1","86","89","89",NA,"19","99"
"125","10359","RUTW","LETE","0,0,1",1,"3","86","89","95","15",NA,"99"
"126","10360","RUTW","CONI","0,0,0,1",1,"6","95","102","103",NA,"3","99"
"127","10371","RUTE","CONI","0,0,0",0,"1","103","112","112","70","17","99"
"128","20005","RUTW","LETE","0,1",1,"3","21","21","28",NA,NA,"99"
"129","20006","RUTW","LETE","0,1",1,"3","21","21","28",NA,NA,"99"
"130","20007","RUTW","LETE","0,1",1,"3","21","21","28",NA,NA,"99"
"131","20008","RUTW","LETE","0,1",1,"6","21","21","28",NA,NA,"99"
"132","20200","RUTE","CONI","0,0,0,0,0,0,0,0,0",0,"1","25","44","44",NA,"20","99"
"133","20201","RUTE","LETE","0,0,0,0,0,0,0,0,0,0",0,"1","25","45","45",NA,NA,"99"
"134","20202","RUTE","LETE","0,0,0,0,0,0,0,0,0",0,"1","25","44","44",NA,NA,"99"
"135","20203","RUTE","LETE","0,0,0,0,0,0,0,0",0,"1","25","42","42",NA,NA,"99"
"136","20204","RUTE","LETE","0,0,0,0,0,0,0,0,0",0,"1","25","42","44",NA,"21","99"
"137","20205","RUTE","LETE","0,0,0,0,0,0,0,0,0",0,"1","25","44","44",NA,NA,"99"
"138","20206","RUTE","LETE","0,0,0,0,0,0,0,0",0,"1","25","42","42",NA,NA,"99"
"139","20207","RUTE","LETE","0,0,1",1,"0","25","28","30",NA,NA,"99"
"140","20211","RUTW","LETE","0,0,1",1,"6","28","32","35",NA,NA,"99"
"141","20212","RUTW","LETE","0,0,1",1,"6","28","32","35",NA,NA,"99"
"142","20213","RUTW","LETE","0,0,1",1,"2","28","32","35",NA,NA,"99"
"143","20215","RUTW","LETE","0,1",1,"6","28","28","30",NA,NA,"99"
"144","20217","RUTW","LETE","0,0,1",1,"2","28","32","35",NA,NA,"99"
"145","20219","RUTW","LETE","0,0,0,0,0,1",1,"0","28","37","40",NA,NA,"99"
"146","20220","RUTW","LETE","0,0,0,0,0,0,1",1,"0","28","42","44",NA,NA,"99"
