"","nest","site","species","status","fate","i","j","k","final_fate","cov_5m","nest_age","cam_fate"
"52","10125","RUTW","LETE","0,0,1",1,"60","64","69","2",NA,NA,NA
"53","10126","RUTW","LETE","0,0,0,1",1,"60","69","60","4",NA,"0","6"
"54","10150","RUTW","CONI","0,0",0,"71","74","74","1","70",NA,NA
"55","10153","RUTE","CONI","0,0,0,0,0,0,1",1,"86","96","99","4","75",NA,NA
"56","10175","RUTW","CONI","0,0,0,0,0",0,"86","103","103","1","25",NA,NA
"57","10211","RUTW","LETE","0,0,0,0,0",0,"20","41","41","1","5",NA,NA
"58","10213","RUTW","LETE","0,1",1,"20","20","23","5","5",NA,NA
"59","10220","RUTW","LETE","0,0,0,0,0",0,"20","41","41","1","5",NA,NA
"60","10223","RUTW","LETE","0,0,0,1",1,"37","46","48","0",NA,"16","6"
"61","10224","RUTW","LETE","0,1",1,"32","32","37","4",NA,NA,NA
"62","10226","RUTW","LETE","0,1",1,"41","41","46","0",NA,NA,NA
"63","10227","RUTW","LETE","0,0,0,0",0,"37","54","54","1",NA,NA,NA
"64","10228","RUTW","LETE","0,1",1,"37","37","41","0",NA,NA,NA
"65","10230","RUTW","LETE","0,0,0,1",1,"37","46","50","0",NA,NA,NA
"66","10233","RUTW","LETE","0,0,0,0,0,0",0,"37","60","60","1",NA,NA,NA
"67","10236","RUTE","LETE","1,0,0,0,0",0,"45","58","58","1",NA,NA,NA
"68","10237","RUTE","LETE","1,1",1,"39","39","45","5",NA,NA,NA
"69","10238","RUTE","LETE","1,0,0,0,0",0,"45","60","60","1",NA,NA,NA
"70","10239","RUTE","CONI","1,0,0",0,"39","51","51","1",NA,NA,NA
"71","10241","RUTW","LETE","0,0,0,0,0,1",0,"26","50","50","1","40","20","2"
"72","10247","RUTW","LETE","0,0,0,1",1,"32","41","46","5",NA,NA,NA
"73","10249","RUTW","LETE","0,0,1",1,"32","37","46","5",NA,NA,NA
"74","10252","RUTW","CONI","0,1,0,0",0,"37","50","50","1",NA,NA,NA
"75","10254","RUTW","LETE","0,0,0,0,1",1,"32","46","50","6",NA,NA,NA
"76","10255","RUTW","LETE","0,0,0,0,0,0",0,"32","51","51","1",NA,NA,NA
"77","10256","RUTW","LETE","0,0,0,0,1",1,"32","46","48","0",NA,"20","2"
"78","10257","RUTW","LETE","0,0,0,0,1",1,"32","46","48","0",NA,"16","2"
"79","10260","RUTE","LETE","0,1,0,1",1,"39","45","51","4","40",NA,NA
"80","10261","RUTE","LETE","0,1,0,1",1,"39","45","51","4","40",NA,NA
"81","10262","RUTE","LETE","0,1,0,1",1,"39","45","51","4","40",NA,NA
"82","10263","RUTE","LETE","0,1,0,0",0,"45","50","50","1","40",NA,NA
"83","10264","RUTE","LETE","0,1,0,0",0,"45","50","50","1","40",NA,NA
"84","10265","RUTE","LETE","0,1,0,0",0,"45","51","51","1","40",NA,NA
"85","10268","RUTW","LETE","0,0,1",1,"36","40","45","5",NA,NA,NA
"86","10269","RUTE","LETE","1,0,0,0",0,"39","54","54","1",NA,NA,NA
"87","10270","RUTE","LETE","1,0,0",0,"39","49","49","1",NA,NA,NA
"88","10271","RUTE","CONI","1,0",0,"39","45","45","1",NA,NA,NA
"89","10273","RUTE","LETE","1,1",1,"39","39","51","4","30",NA,NA
"90","10275","RUTW","LETE","0,0,0,0,1",1,"40","47","51","5","20",NA,NA
