"","nest","site","species","status","cov_5m","i","j","k","fate_date","nest_age","cam_fate"
"76",10255,"RUTW","LETE","0,0,0,0,0,0",NA,32,51,51,NA,NA,NA
"77",10256,"RUTW","LETE","0,0,0,0,1",NA,32,46,48,48,20,2
"78",10257,"RUTW","LETE","0,0,0,0,1",NA,32,46,48,48,16,2
"79",10260,"RUTE","LETE","0,0,0,1",40,39,45,51,NA,NA,NA
"80",10261,"RUTE","LETE","0,0,0,1",40,39,45,51,NA,NA,NA
"81",10262,"RUTE","LETE","0,0,0,1",40,39,45,51,NA,NA,NA
"82",10263,"RUTE","LETE","0,0,0,0",40,45,50,50,NA,NA,NA
"83",10264,"RUTE","LETE","0,0,0,0",40,45,50,50,NA,NA,NA
"84",10265,"RUTE","LETE","0,0,0,0",40,45,51,51,NA,NA,NA
"85",10268,"RUTW","LETE","0,0,1",NA,36,40,45,NA,NA,NA
"86",10269,"RUTE","LETE","0,0,0,0",NA,39,54,54,NA,NA,NA
"87",10270,"RUTE","LETE","0,0,0",NA,39,49,49,NA,NA,NA
"88",10271,"RUTE","CONI","0,0",NA,39,45,45,NA,NA,NA
"89",10273,"RUTE","LETE","0,1",30,39,39,51,NA,NA,NA
"90",10275,"RUTW","LETE","0,0,0,0,0",20,40,47,51,NA,NA,NA
"91",10277,"RUTW","LETE","0,1",30,40,40,43,NA,NA,NA
"92",10278,"RUTW","LETE","0,0,1",30,40,43,45,NA,NA,NA
"93",10279,"RUTW","LETE","0,1,1",40,40,40,45,NA,NA,NA
"94",10281,"RUTW","LETE","0,0",30,40,40,45,NA,NA,NA
"95",10282,"RUTW","LETE","0,1",30,40,40,45,NA,NA,NA
"96",10283,"RUTW","LETE","0,0,0,0",30,51,58,58,NA,NA,NA
"97",10284,"RUTW","CONI","0,1,0",40,40,46,46,NA,NA,NA
"98",10285,"RUTW","LETE","0,1",30,46,46,50,NA,NA,NA
"99",10288,"RUTW","LETE","0,0,0,0,0",30,46,64,64,64,22,1
"100",10298,"RUTW","LETE","0,0,1",30,50,50,56,56,10,0
"101",10304,"RUTW","LETE","0,1",50,51,51,58,NA,NA,NA
"102",10307,"RUTW","LETE","0,1",40,51,51,53,53,2,0
"103",10308,"RUTW","LETE","0,1",40,51,51,52,52,4,4
"104",10310,"RUTE","LETE","0,0,0,0",30,65,81,81,81,19,1
"105",10311,"RUTE","LETE","0,0,0",NA,65,74,69,69,19,1
"106",10319,"RUTW","LETE","0,0,0",NA,68,77,77,77,21,1
"107",10322,"RUTW","LETE","0,0,1",NA,69,74,78,78,9,6
"108",10329,"RUTE","LETE","0,0,0,0,0,0,1",NA,69,89,91,91,21,3
"109",10331,"RUTW","CONI","0,0,0",NA,74,87,87,NA,NA,NA
"110",10335,"RUTW","CONI","0,0,0,0,0",NA,75,87,87,NA,NA,NA
"111",10338,"RUTW","LETE","0,0,1",NA,87,87,95,NA,NA,NA
"112",10339,"RUTW","LETE","0,0,1",NA,87,87,91,91,NA,3
"113",10341,"RUTW","CONI","0,1",NA,79,79,82,NA,NA,NA
"114",10342,"RUTW","CONI","0,1",NA,79,79,82,NA,NA,NA
"115",10343,"RUTW","CONI","0,0",NA,79,81,81,NA,NA,NA
"116",10344,"RUTW","CONI","0,0,1",50,79,86,87,NA,NA,NA
"117",10345,"RUTW","CONI","0,0,0,0,1",NA,79,88,95,NA,NA,NA
"118",10346,"RUTE","CONI","0,0,0",60,79,84,84,NA,NA,NA
"119",10348,"RUTE","CONI","0,1,0,0",50,79,94,94,NA,NA,NA
"120",10353,"RUTE","LETE","0,0,0,0,0,0,1",40,86,103,75,75,NA,4
"121",10355,"RUTW","CONI","0,0,1",70,89,95,101,101,12,6
"122",10356,"RUTW","LETE","0,0,0,1",NA,86,89,92,92,10,6
"123",10357,"RUTW","LETE","0,0,0,1",NA,86,89,87,87,17,4
"124",10358,"RUTW","LETE","0,1",NA,86,89,89,89,19,2
"125",10359,"RUTW","LETE","0,0,1",15,86,89,92,92,NA,3
"126",10360,"RUTW","CONI","0,0,0,1",NA,95,102,101,101,3,6
"127",10371,"RUTE","CONI","0,0,0",70,103,112,112,112,17,1
"128",20005,"RUTW","LETE","0,1",NA,21,21,28,NA,NA,NA
"129",20006,"RUTW","LETE","0,1",NA,21,21,28,NA,NA,NA
"130",20007,"RUTW","LETE","0,1",NA,21,21,28,NA,NA,NA
"131",20008,"RUTW","LETE","0,1",NA,21,21,28,NA,NA,NA
"132",20200,"RUTE","CONI","0,0,0,0,0,0,0,0,0",NA,25,44,45,45,20,1
"133",20201,"RUTE","LETE","0,0,0,0,0,0,0,0,0,0",NA,25,45,45,NA,NA,NA
