"nest","site","species","status","cov_5m","fate_date","nest_age","obs_int","i","j","k","final_fate","cam_fate","year","hatchfail","c_hatchfail","HF_mis","HF","misclass","how_mis"
"10307","RUTW","LETE","1|0","40","53","2","0","51","51","58","0","0","2019",0,0,0,NA,1,"C"
"10308","RUTW","LETE","1|0","40","52","4","0","51","51","58","0","4","2019",0,0,0,NA,0,"M"
"10310","RUTE","LETE","1|1|1|1","30","81","19","0","65","81","81","1","1","2019",1,1,0,NA,1,"C"
"10311","RUTE","LETE","1|1|1",NA,"69","19","0","65","74","74","1","1","2019",1,1,0,NA,1,"C"
"10317","RUTW","LETE","1|0|0|0","20",NA,NA,"0","69",NA,NA,"7",NA,"2019",7,7,NA,NA,NA,NA
"10319","RUTW","LETE","1|1|1",NA,"77","21","0","68","77","77","1","1","2019",1,1,0,NA,1,"C"
"10322","RUTW","LETE","1|1|0",NA,"78","9","0","69","74","78","6","6","2019",0,0,0,NA,1,"C"
"10323","RUTW","LETE","1|1|1|1",NA,"80","18","0","62","81","81","7","1","2019",7,1,1,NA,0,"N"
"10325","RUTW","LETE","1|1|1|unknown|0",NA,NA,NA,"0","69","78","87","7",NA,"2019",7,7,NA,NA,NA,NA
"10326","RUTW","LETE","1|1|1|unknown|0",NA,NA,NA,"0","69","78","87","7",NA,"2019",7,7,NA,NA,NA,NA
"10327","RUTW","LETE","1|1|1|0",NA,NA,NA,"0","69","78","87","7",NA,"2019",7,7,NA,NA,NA,NA
"10329","RUTE","LETE","1|1|1|1|1|1|0",NA,"91","21","0","69","89","94","0","3","2019",0,0,0,NA,0,"M"
"10334","RUTW","LETE","1|1|unknown|0",NA,"75","16","0","69","75","85","7","4","2019",7,0,1,NA,0,"N"
"10338","RUTW","LETE","1|1|0",NA,NA,NA,"0","87","87","95","3",NA,"2019",0,7,NA,NA,NA,NA
"10339","RUTW","LETE","1|1|0",NA,"91",NA,"0","87","87","95","3","3","2019",0,0,0,NA,1,"C"
"10340","RUTW","CONI","1",NA,NA,NA,"0",NA,NA,NA,"7",NA,"2019",7,7,NA,NA,NA,NA
"10353","RUTE","LETE","1|1|1|1|1|1|0","40","75",NA,"0","86","103","108","4","4","2019",0,0,0,NA,1,"C"
"10355","RUTW","CONI","1|1|0","70","101","12","0","89","95","103","0","6","2019",0,0,0,NA,0,"M"
"10356","RUTW","LETE","1|1|1|0",NA,"92","10","0","86","89","95","3","6","2019",0,0,0,NA,0,"M"
"10357","RUTW","LETE","1|1|1|0",NA,"87","17","0","86","89","95","4","4","2019",0,0,0,NA,1,"C"
"10358","RUTW","LETE","1|1",NA,"89","19","0","86","89","89","1","2","2019",1,0,1,110,0,"M"
"10359","RUTW","LETE","1|1|0","15","92",NA,"0","86","89","95","3","3","2019",0,0,0,NA,1,"C"
"10360","RUTW","CONI","1|1|1|0",NA,"101","3","0","95","102","103","6","6","2019",0,0,0,NA,1,"C"
"10371","RUTE","CONI","1|1|1","70","112","17","0","103","112","112","1","1","2019",1,1,0,NA,1,"C"
"13211","RUTW","LETE","1|1|1|0",NA,NA,NA,NA,"69","78","87","7",NA,"2019",7,7,NA,NA,NA,NA
"20200","RUTE","CONI","1|1|1|1|1|1|1|1|1",NA,"45","20","0","25","44","44","1","1","2020",1,1,0,NA,1,"C"
"20204","RUTE","LETE","1|1|1|1|1|1|1|1|1",NA,"44","21","0","25","42","44","1","1","2020",1,1,0,NA,1,"C"
"20218","RUTW","LETE","1|1|1|1|1|1|1",NA,"44","22","0","28","42","44","8","1","2020",7,1,1,NA,0,"N"
"20221","RUTW","LETE","1|1|1|1|1|1|1",NA,NA,NA,"0","28","44","44","7",NA,"2020",7,7,NA,NA,NA,NA
"20240","RUTE","CONI","1|1|1|1|1",NA,"46","20","0","37","45","45","1","1","2020",1,1,0,NA,1,"C"
"20247","RUTE","LETE","1|1|0","50",NA,NA,"0","42","45","48","4",NA,"2020",0,7,NA,NA,NA,NA
"20249","RUTW","LETE","1|1|1|1|1|1|1","20","61","23","0","44","61","61","1","1","2020",1,1,0,NA,1,"C"
"20250","RUTW","LETE","1|1|1|1|1|1","50","65","21","0","44","61","65","1","1","2020",1,1,0,NA,1,"C"
"20251","RUTE","LETE","1|1|1|1|1|1|1|0","20","69","22","0","48","70","70","8","1","2020",7,1,1,NA,0,"N"
"20256","RUTW","CONI","1|0","80","61","15","0","44","61","61","8","1","2020",7,1,1,NA,0,"N"
"20257","RUTW","CONI","1|1|1","50","60","14","0","44","61","61","1","1","2020",1,1,0,NA,1,"C"
"20258","RUTW","CONI","1|1","95","50","16","0","44","50","50","1","1","2020",1,1,0,NA,1,"C"
"20259","RUTW","CONI","1","80","45","16","0","44","44","44","1","1","2020",1,1,0,NA,1,"C"
"20260","RUTW","CONI","1|1|1","60","61","15","0","44","58","61","8","4","2020",7,0,1,NA,0,"N"
"20262","RUTE","LETE","1|1|1|1|1|1","30",NA,NA,"0","53","70","70","1",NA,"2020",1,7,NA,NA,NA,NA
"20263","RUTE","LETE","1|1|1|1|1|0","20","68","18","0","53","70","70","8","4","2020",7,0,1,NA,0,"N"
"20264","RUTE","LETE","1|1|1|1|1|1|0","30","76","23","0","53","77","77","8","1","2020",7,1,1,NA,0,"N"
"20266","RUTE","CONI","1|1|1|1|1|1|0","80","75","22","0","53","73","75","8","1","2020",7,1,1,NA,0,"N"
"20269","RUTW","LETE","1|1|1|1|1","40","72","19","0","57","73","73","1","1","2020",1,1,0,NA,1,"C"
"20276","RUTE","CONI","1|1|1|1","75","74","19","0","61","73","73","1","1","2020",1,1,0,NA,1,"C"
"20281","RUTW","LETE","1|1|1|1|0","20",NA,NA,"0","65","77","81","7",NA,"2020",7,7,NA,NA,NA,NA
"20299","RUTW","LETE","1|1|1|1|0","40","83","12","0","70","81","83","4","4","2020",0,0,0,NA,1,"C"
"20300","RUTW","CONI","1","90","47","16","0","46","46","46","1","1","2020",1,1,0,NA,1,"C"
"20301","RUTW","CONI","1|1|1|1","80","63","20","0","46","57","59","0","6","2020",0,0,0,NA,0,"M"
"20303","RUTW","LETE","1|0","40","52",NA,"0","49","49","52","6","6","2020",0,0,0,NA,1,"C"
"20304","RUTW","LETE","1|1","70","56","19","0","49","57","57","1","1","2020",1,1,0,NA,1,"C"
"20305","RUTW","CONI","1|1|1|1","80","60",NA,"0","49",NA,NA,"8","1","2020",7,1,1,NA,0,"N"
"20317","RUTW","CONI","1|1|1|1",NA,"68","16","0","53","67","67","1","1","2020",1,1,0,NA,1,"C"
"20318","RUTE","CONI","1|1|1|1","70","76","26","0","53","75","75","8","1","2020",7,1,1,NA,0,"N"
